project,reach,shore,river,drainage,reclamation,tributary,tributaries,agricultural,biotic,refuge,spring,flood,dam,mine,impoundment,freshwater,coastal,riparian,lake,marsh,channel,backwater,pond,ditch,raceway,soil,tank,laboratory,hatchery,reservoir,floodplain,herbaceous,crop,woody,woodlands,canopy,understory,irrigation,wildfire,wetland,forest,sediment,roost,roosting,foliage,sand,valley
g3,0,0,0.014596793,0.002153625,0.002632209,0,0,0.000358938,0,0,0,0,0,0,0,0,0,0,0.012443168,0.002512563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003230438,0,0,0,0,0,0,0,0,0.001675042
g4,0.009147853,0,0.140912983,0.006759497,0.058807625,0,0.003514938,0.004911901,0,0.001892659,0.002748862,0,0.010950385,0,0,0,0,0.034473435,0.010815195,0.027083052,0.005677978,0.003199495,0.003424812,0,0,0.01563697,0,0,0.001667343,0,0.00094633,0.005948357,0,0.002343292,0.00040557,0.022035961,0.00788608,0.01455545,0,0,0.006624307,0,0,0.002929115,0.002478482,0,0.007795953
hcp,0.001318517,2.43E-05,0.005541662,0.000131365,0.00097794,0,1.95E-05,0.000345442,5.35E-05,8.76E-05,4.38E-05,0.000145961,0.001187152,0,1.46E-05,1.46E-05,0,0.001036325,0.001834246,0.001770997,0.000423288,0.000505999,2.92E-05,0,0,0.000296788,0,0,6.32E-05,0.00096821,0.000267596,0.000116769,0,0.000141096,0,5.35E-05,9.73E-05,0.000525461,0.000228673,0.000107038,5.35E-05,0.000165423,0.000111904,0.000321115,3.41E-05,2.92E-05,0.00019948
i1,0,0,0.04047384,0.005923001,0.015004936,0,0,0.000987167,0,0.002764067,0.000789733,0,0.001974334,0.000789733,0,0,0,0.005133268,0.012635735,0.001579467,0,0,0,0,0,0,0,0,0.005725568,0,0,0,0,0,0,0,0,0.009279368,0,0.0017769,0,0,0,0,0,0,0.005923001
monitoring,0,0,0,0,0,0,0,0,0,0.001112612,0,0,0,0,0,0,0,0,0,0.00929826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001589446,0,0,0,0,0,0,0
radio-tag,0,0,0.005770196,0.000752634,0.000376317,0,0,0,0,0,0,0,0.000752634,0,0,0.000376317,0,0,0.000627195,0.002132464,0.005017561,0.020070246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001128951,0,0,0,0,0,0,0,0,0.000501756
rare,0,0,0.006065507,0.002426203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003639304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003639304,0,0,0,0,0,0,0,0.001213101,0.001617469
razorback,0.003827019,0,0.021814007,0,0.003444317,0,0,0,0,0,0.004592423,0,0,0,0,0.001530808,0,0,0.013394566,0.01224646,0,0,0.022196709,0,0.001148106,0,0.005740528,0.001148106,0.034825871,0,0.004209721,0,0,0,0,0,0,0,0,0.002678913,0,0,0,0,0,0.001148106,0.005357826
relict,0,0,0.004092323,0.003273858,0.000818465,0,0,0,0,0.00278278,0.05172696,0.000491079,0.000818465,0,0,0,0,0.000491079,0.002455394,0,0.002455394,0,0,0.001473236,0,0,0,0,0.00114585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species,0.001093382,0.000203851,0.026278238,0.000370638,0.002464743,0.000129723,0.000630085,0.000852468,7.41E-05,0.000889531,0.001723467,0.000315042,0.001927318,0.000555957,0.000240915,0.000426234,0.000166787,0.003910231,0.004818295,0.004818295,0.000667148,0.001538148,0.000463298,0,0,0.000889531,7.41E-05,0.000704212,0.000444766,0.000945127,0.000426234,0.000166787,0,0.000315042,0.000481829,0.001445488,0.000500361,0.000574489,0,0.000426234,0.000982191,0.000277979,0.001482552,0.000982191,0.001186042,0.000463298,0.003576657
