Date,File#,Puff site#,Exposure (ms),Recording Length (ms),Flash Length (ms),Start frame of Flash,Start time of Flash (ms),No. of events at site,Max Amp at site,centroid_x (pixels),centoid_y (pixels),t_peak (frames),t_peak (ms),Amplitude (DF/F0),sigmax,sigmay,angle
1107,1,1.043,5,24920,500,850,4250,4,0.1363908487,101.707944386,109.9736427648,3858,19290,0.0874257957,6.075761165,4.9032340048,89.9999510078
1107,1,1.043,5,24920,500,850,4250,4,0.1363908487,100.4235293069,108.95748972,5312,26560,0.1363908487,2.3317385056,4.2272084603,8.5573396521
1107,1,1.043,5,24920,500,850,4250,4,0.1363908487,102.1784588098,111.6276326385,5897,29485,0.1224145374,4.0023370097,3.4865645617,0.0007918807
1107,1,1.044,5,24920,500,850,4250,1,0.1561639383,59.851289658,72.9974274864,3563,17815,0.1561639383,2.9557389754,3.282835769,31.9774892767
1107,1,1.045,5,24920,500,850,4250,1,0.044586179,56.4346311519,111.7512619619,5180,25900,0.044586179,5.6699353752,9.5033442827,31.3115005874
1107,1,1.046,5,24920,500,850,4250,2,0.1146594032,63.1135155731,76.0828790255,3891,19455,0.1146594032,2.5777165258,3.2292922459,5.0785007783
1107,1,1.046,5,24920,500,850,4250,2,0.1146594032,64.9459129449,74.5702076199,5753,28765,0.0658343543,3.4517162529,3.620326075,18.0176243402
1107,1,1.047,5,24920,500,850,4250,2,0.1337797906,70.9158777181,70.8692448451,3967,19835,0.1337797906,3.4700170968,2.8771595518,6.7524384722
1107,1,1.047,5,24920,500,850,4250,2,0.1337797906,71.7598446351,71.2482758318,4883,24415,0.1254708322,3.3688907934,2.9091186278,82.8494378001
1107,1,1.048,5,24920,500,850,4250,1,0.0758204508,46.4690037216,106.1462629963,3987,19935,0.0758204508,8.8305646309,6.9167539129,0.0023773058
1107,1,1.049,5,24920,500,850,4250,1,0.0454456756,74.9908198966,40.4993662775,4232,21160,0.0454456756,2.1244506983,9.9999905374,81.1819117908
1107,1,1.05,5,24920,500,850,4250,1,0.2440913685,53.9280104403,25.0021480427,4580,22900,0.2440913685,2.5821361806,2.0000011647,37.038675569
1107,1,1.051,5,24920,500,850,4250,1,0.092896954,23.5729393935,58.4133428938,4621,23105,0.092896954,5.4687883359,2.9602509907,58.5803083033
1107,1,1.052,5,24920,500,850,4250,1,0.0258101252,73.3775249995,77.9801887352,4635,23175,0.0258101252,10,8.8612139229,43.1258361464
